lon,lat,doy,seas,thresh
112.875,-28.875,1,22.04,23.38
112.875,-28.875,2,22.07,23.41
112.875,-28.875,3,22.1,23.44
112.875,-28.875,4,22.12,23.47
112.875,-28.875,5,22.15,23.5
112.875,-28.875,6,22.17,23.52
112.875,-28.875,7,22.19,23.54
112.875,-28.875,8,22.21,23.56
112.875,-28.875,9,22.24,23.58
112.875,-28.875,10,22.26,23.59
112.875,-28.875,11,22.28,23.61
112.875,-28.875,12,22.3,23.62
112.875,-28.875,13,22.32,23.64
112.875,-28.875,14,22.34,23.65
112.875,-28.875,15,22.37,23.66
112.875,-28.875,16,22.39,23.68
112.875,-28.875,17,22.41,23.69
112.875,-28.875,18,22.44,23.71
112.875,-28.875,19,22.47,23.73
112.875,-28.875,20,22.49,23.76
112.875,-28.875,21,22.52,23.79
112.875,-28.875,22,22.55,23.82
112.875,-28.875,23,22.58,23.86
112.875,-28.875,24,22.61,23.9
112.875,-28.875,25,22.64,23.94
112.875,-28.875,26,22.67,23.98
112.875,-28.875,27,22.71,24.03
112.875,-28.875,28,22.74,24.07
112.875,-28.875,29,22.77,24.11
112.875,-28.875,30,22.81,24.15
112.875,-28.875,31,22.84,24.19
112.875,-28.875,32,22.87,24.22
112.875,-28.875,33,22.9,24.25
112.875,-28.875,34,22.93,24.28
112.875,-28.875,35,22.97,24.31
112.875,-28.875,36,23,24.34
112.875,-28.875,37,23.03,24.36
112.875,-28.875,38,23.06,24.39
112.875,-28.875,39,23.1,24.42
112.875,-28.875,40,23.13,24.46
112.875,-28.875,41,23.17,24.5
112.875,-28.875,42,23.2,24.54
112.875,-28.875,43,23.24,24.58
112.875,-28.875,44,23.27,24.62
112.875,-28.875,45,23.31,24.67
112.875,-28.875,46,23.34,24.71
112.875,-28.875,47,23.38,24.75
112.875,-28.875,48,23.41,24.79
112.875,-28.875,49,23.44,24.82
112.875,-28.875,50,23.48,24.86
112.875,-28.875,51,23.51,24.89
112.875,-28.875,52,23.53,24.91
112.875,-28.875,53,23.56,24.92
