lon,lat,event_no,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_cumulative
147.625,-18.875,1,9,1982-01-01,1982-01-01,1982-01-09,1.247,1.41,11.22
147.625,-18.875,2,6,1982-01-17,1982-01-18,1982-01-22,1.523,1.73,9.14
147.625,-18.875,3,12,1982-03-08,1982-03-10,1982-03-19,1.66,2.13,19.92
147.625,-18.875,4,8,1983-10-19,1983-10-20,1983-10-26,1.034,1.14,8.27
147.625,-18.875,5,5,1983-11-09,1983-11-12,1983-11-13,1.006,1.35,5.03
147.625,-18.875,6,5,1984-12-29,1984-12-30,1985-01-02,1.236,1.38,6.18
147.625,-18.875,7,5,1985-01-07,1985-01-07,1985-01-11,1.282,1.47,6.41
147.625,-18.875,8,5,1987-01-24,1987-01-25,1987-01-28,1.292,1.41,6.46
147.625,-18.875,9,7,1988-04-08,1988-04-11,1988-04-14,1.317,1.74,9.22
147.625,-18.875,10,5,1988-05-07,1988-05-08,1988-05-11,0.974,1.09,4.87
147.625,-18.875,11,9,1988-10-16,1988-10-20,1988-10-24,1.487,2.06,13.38
147.625,-18.875,12,6,1991-07-30,1991-08-03,1991-08-04,1.428,1.72,8.57
147.625,-18.875,13,16,1991-09-20,1991-10-02,1991-10-05,1.731,2.31,27.7
147.625,-18.875,14,6,1992-05-18,1992-05-22,1992-05-23,1.082,1.23,6.49
147.625,-18.875,15,5,1992-09-26,1992-09-27,1992-09-30,1.438,1.82,7.19
147.625,-18.875,16,6,1995-02-15,1995-02-18,1995-02-20,2.045,2.4,12.27
147.625,-18.875,17,7,1995-04-06,1995-04-07,1995-04-12,1.121,1.28,7.85
147.625,-18.875,18,5,1995-06-17,1995-06-19,1995-06-21,1.262,1.61,6.31
147.625,-18.875,19,5,1995-11-22,1995-11-25,1995-11-26,1.626,2.04,8.13
147.625,-18.875,20,7,1996-04-16,1996-04-17,1996-04-22,1.099,1.25,7.69
147.625,-18.875,21,21,1996-05-02,1996-05-08,1996-05-22,1.309,1.75,27.49
147.625,-18.875,22,9,1996-06-28,1996-06-30,1996-07-06,1.19,1.37,10.71
147.625,-18.875,23,6,1996-07-10,1996-07-13,1996-07-15,1.177,1.38,7.06
147.625,-18.875,24,5,1996-08-04,1996-08-08,1996-08-08,1.356,1.55,6.78
147.625,-18.875,25,5,1996-08-21,1996-08-24,1996-08-25,1.026,1.25,5.13
147.625,-18.875,26,16,1998-02-03,1998-02-17,1998-02-18,1.341,1.61,21.46
147.625,-18.875,27,8,1998-05-04,1998-05-07,1998-05-11,1.31,1.5,10.48
147.625,-18.875,28,9,1998-05-21,1998-05-26,1998-05-29,1.359,1.66,12.23
